Yıl,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,location,summary,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,gname,gsubname,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nwound,propcomment,addnotes,scite1,scite2,scite3,CITY_LATITUDE,CITY_LONGITUDE,COUNTRY_LATITUDE,COUNTRY_LONGITUDE
2015,12,30,209,Turkey,10,Middle East & North Africa,Diyarbakir,Sur district,38.059761,40.388604,,12/30/2015: Diyarbakır ilinin Sur ilçesinde bulunan Emniyet Genel Müdürlüğü (EGM) subaylarının yakınlarında patlayıcı bir cihaz patladı. Patlamada en az bir memur öldürüldü ve iki kişi yaralandı. Hiçbir grup sorumluluk kabul etmedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,3804403006,4036758822,3898843426,3629778344
2016,12,20,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.908201,32.856257,,"12/20/2016: Saldırgan, Ankara'daki Türkiye Büyükelçiliği dışında ateş açtı. Saldırıda rapor edilen herhangi bir zayiat yoktu ve saldırgan olay yerinde tutuklandı. Olay için hiçbir grup sorumluluk kabul etmedi.",,,0,0,0,2,Silahlı saldırı,7,Hükümet (Diplomatik),46,Elçilik / Konsolosluk,elçilik,217,Amerika Birleşik Devletleri,Bilinmeyen,,Ateşli silahlar,4,Tüfek / Av Tüfeği (otomatik olmayan),Saldırıda bir pompa aksiyon tüfeği kullanıldı.,0,0,,,"""""Türkiye'de ABD büyükelçiliği dışında ateş açıldı"""", Hindu, 20 Aralık 2016.","""""Rusya Büyükelçisi, Ankara'da görevli polis memuru tarafından Ankara'ya suikast düzenledi"""", Washington Post, 19 Aralık 2016.","""""Türkiye: Rus büyükelçisinin öldürülmesinden sonra, ABD'nin Ankara Büyükelçiliği dışında gerçekleşen silahlı saldırı"""" 20 Aralık 2016, India.com.",3992424332,3285706324,3898843426,3629778344
2016,12,4,209,Turkey,10,Middle East & North Africa,Diyarbakir,Diyarbakir,37.91484,40.231833,Olay İskenderpaşa Mahallesi'nde meydana geldi.,"12/04/2016: İskenderpaşa mahallesinde bir patlayıcı aygıt patladı Diyarbakır, Türkiye. Patlamada iki çocuk yaralandı. Olay için hiçbir grup sorumluluk kabul etmedi.",,,0,1,0,3,Bombalama / Patlama,14,Özel Vatandaşlar,67,Adsız Sivil / Belirtilmemiş,Siviller,209,Türkiye,Bilinmeyen,,Patlayıcılar / Bombalar / Dinamit,17,Diğer patlayıcı türü,Saldırıda el yapımı bir boru bombası kullanıldı.,0,2,,,"""""Türkiye'nin güneydoğusundaki el yapımı bombanın patlaması sonucu iki çocuk yaralandı"""", Turkish Daily, 5 Aralık 2016.",,,379143323,4016550175,3898843426,3629778344
2016,12,3,209,Turkey,10,Middle East & North Africa,Hakkari,Cukurca district,37.293709,43.671189,,12/03/2016: Saldırganlar havan topladılar ve Hakkari'nin Çukurca ilçesinde bir askeri üsse ateş açtılar. Çıkan çatışmada en az 20 faili öldürüldü. Kürdistan İşçi Partisi (PKK) olayın sorumluluğunu üstlendi ve saldırının askeri operasyonlara misilleme olarak yapıldığını belirtti.,1,İsyan / Gerilla Eylemi,0,1,0,2,Silahlı saldırı,4,Askeri,27,Askeri Kışla / Baz / Merkez / Checkpost,baz,209,Türkiye,Kürdistan İşçi Partisi (PKK),,Patlayıcılar / Bombalar / Dinamit,11,"Mermi (roketler, harçlar, RPG'ler, vb.)",Saldırıda harç ve makineli tüfek kullanıldı.,20,0,,"Kaza rakamları kaynaklar arasında çatışıyor. GTD protokolünü takiben, en güvenilir tahminler burada rapor edilir.","""""Türk ordusu Hakkari'de 20 Kürt katili öldürdü,"""" The News International, 4 Aralık 2016.","""""Kürdistan İşçi Partisi, Hakkari'de Türk üssüne saldırdı, 30'un üzerinde askeri öldürdü,"""" TheTurkeyNews.Net, 5 Aralık 2016.","""""PKK, Hakkari'de Türk ordusunun üssüne saldırdı, 30'un üzerinde askeri öldürdü,"""" TheTurkeyNews.Net, 3 Aralık 2016.",3728377494,4365689835,3898843426,3629778344
2016,12,10,209,Turkey,10,Middle East & North Africa,Diyarbakir,Hazro district,38.253757,40.780811,,"12/10/2016: Patlayıcı yüklü bir araç, Diyarbakır'ın Hazro ilçesinde bir jandarma karakoluna doğru patladı. Patlamada herhangi bir kayıp bildirilmedi. Olayla ilgili grup sorumluluğu üstlenmedi",,,,,,,,,,,,,,,,,,,,,,,,,,,,38253757,40780811,3898843426,3629778344
2016,12,6,209,Turkey,10,Middle East & North Africa,Diyarbakir,Diyarbakir,37.926232,40.202548,,"12/06/2016: Saldırganlar, Diyarbakır'da bir Adalet ve Kalkınma Partisi (AKP) bürosunu koruyan Türk Ulusal Polis (EGM) subaylarını hedef alan bir patlayıcıyı patlattı. Patlamada bildirilen zayiat yoktu. Olayla ilgili grup sorumluluğu üstlenmedi",,,,,,,,,,,,,,,,,,,,,,,,,,,,379143323,4016550175,3898843426,3629778344
2016,12,7,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.10668,28.871568,Olay Sultangazi Mahallesi'nde meydana geldi.,"12/07/2016: Saldırganlar, İstanbul, Türkiye Sultangazi Mahallesi'nde Evliya Çalışkan'ın aracına ateş açtı. Terör ve Terörle Mücadele Bürosu'nun terörizm savcısı olan Caliskan saldırıya zarar vermedi. Olayla ilgili grup sorumluluğu üstlenmedi",,,,,,,,,,,,,,,,,,,,,,,,,,,,4101709296,2896335096,3898843426,3629778344
2016,11,24,209,Turkey,10,Middle East & North Africa,Sirnak,Unknown,37.418748,42.491834,,"11/24/2016: Şırnak ilindeki askeri ve köy koruculuğunu hedef alan patlayıcı bir cihaz patlatıldı. Patlamada bir asker öldü, iki asker ve üç köy korucusu yaralandı. Olayla ilgili grup sorumluluğu üstlenmedi",,,,,,,,,,,,,,,,,,,,,,,,,,,,2250221095,2532001621,3898843426,3629778344
2016,11,23,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.373981,27.13501,Olay Karabağlar mahallesinde meydana geldi.,"11/23/2016: Saldırganlar, İzmir, Karabağlar Mahallesi'nde bir Adalet ve Kalkınma Partisi (AKP) ilçe binasına ateş açtı. Saldırıda rapor edilen herhangi bir kayıp yoktu. Olay için hiçbir grup sorumluluk kabul etmedi.",,,0,1,0,2,Silahlı saldırı,14,Özel Vatandaşlar,84,Siyasi Parti Üyesi / Rallisi,bina,209,Türkiye,Bilinmeyen,,Ateşli silahlar,5,Bilinmeyen Silah Türü,,0,0,Bu saldırıda bir bina hasar gördü.,,"""""AKP binası, İzmir'de bir gecede saldırıya uğradı"""", 23 Kasım 2016, Turkish Daily.",,,384654758,2719007599,3898843426,3629778344
2016,11,24,209,Turkey,10,Middle East & North Africa,Adana,Adana,36.991419,35.330828,,"11/24/2016: Patlayıcı yüklü bir araç, Adana'daki valilik ofisi dışında patladı. Patlamada en az iki kişi öldü ve 30 kişi yaralandı. Kürdistan Özgürlük Şahinleri (TAK), olayla ilgili sorumluluk üstlendi",,,,,,,,,,,,,,,,,,,,,,,,,,,,3699337004,3532760818,3898843426,3629778344
